,full_text,created_at
57,"Kalau secara realistis, mungkin kayak gini sabi 

Ungu : Purple Line / Lin Lingkar Jabodetabek
Jingga : Ciliwung Line / Lin Lingkar Jakarta.
Cikarang line cuma sampe Jatinegara- Bekasi. Pake 6 rangkaian pp udah cukup kayaknya. TM 05 taro aja di situ biar ada gunanya😁 https://t.co/PHsAUnFCHb",2023-04-04 03:34:54+00:00
58,Harusnya kek gini https://t.co/8PD2mqS1ea,2023-04-04 01:45:26+00:00
59,"------------------------------
🅵🅾🅻🅻🅾🆆 🅼🅴

@Rere_chan95
@Re2Sexy
@MisRere__
@ShintiaLie__

🅱🅰🆂🅴  BEKASI
Cikarang  31-2 
Jaksel 5-6 https://t.co/5GuW7GgWol",2023-04-01 05:18:51+00:00
60,Panasnya Cikarang 💥💥 https://t.co/yRErzhDNAc,2023-04-04 07:17:14+00:00
61,Mendag dan Menkop UKM Musnahkan 7.363 Bal Pakaian Bekas Impor di Cikarang https://t.co/nATb8GgqZT https://t.co/Ys6TMur2Em,2023-03-28 11:21:04+00:00
62,"r㉫උ✿๓㉫Ǹd㉫d 

@Rere_chan95
@MisRere__
@Re2Sexy
@ShintiaLie__

ⓑⓐⓢⓔ BEKASI
Cikarang  now
Jaksel 5-6 https://t.co/9W2D6pnMJf",2023-04-01 11:19:36+00:00
63,hari ini ke tangerang bsk cikarang,2023-03-29 15:11:44+00:00
64,"hay Cikarang... aku hari ini move Cikarang loh..  🤗🤗
jamkosong di jam 9 malem sampe cek out .. cm untuk 1 org aja yaa..
yukkk gercep keep dp nya.. yg mau echa pijitin sebelum bobo.. 🥰🥰
#expomedan 5-8 april https://t.co/ILWB2uRFtz",2023-04-01 04:22:29+00:00
65,"Senin, 03/04. Rizki Purnama Sari, PPB Kab. Bekasi, Mendampingi Tim Verifikasi BBPAT Sukabumi utk CPCL Bioflok di Kelp RCM 2 Ds. Hegarmanah Kec. Cikarang Timur  #luhlapor #GiatLuhkanSatminkalBogor @puslatluhkp @brpbatpp_bogor https://t.co/1oNn0X9g27",2023-04-04 05:45:05+00:00
66,"Besok aku di area Jababeka - Cikarang yang mau isi slot boleh atur jadwal dulu 🫰

Cuma 2slot aja ☕

#Expocikarang #availcikarang #availKarawang https://t.co/g31m3q0A1u",2023-03-30 14:39:38+00:00
67,"WTS KASTEL TERPENCIL DI DALAM CERMIN PRELOVED 

💸 : 70k (bisa nego)
📍 : cikarang 
bisa keep event via 🍊
kalau mau cek condi bisa dm aja https://t.co/nsIGsbMc1s",2023-03-27 06:59:47+00:00
68,DPW PKS Jambi Targetkan Satu Kursi DPR RI https://t.co/3u5a8o8e42 https://t.co/agL1DNAYhQ,2023-03-29 06:55:41+00:00
69,"r㉫උ✿๓㉫Ǹd㉫d 

@Rere_chan95
@MisRere__
@Re2Sexy
@ShintiaLie__

ⓑⓐⓢⓔ BEKASI
Karawang 29-30
Cikarang  1-2
Jaksel 3-4 https://t.co/TfdD6F62OS",2023-03-29 13:41:58+00:00
